Report Number,title,abstract,link,author,outlier
No. 181:,The EU proposal for an Investment Court System: what lessons can be learned from the Arab Investment Court?,No. 181:,/sites/default/files/content/docs/publications/Perspective-Gaffney-Final-Formatted.pdf,",” by John Gaffney",
,中文版,The EU has presented a proposal to the US for an Investment Court system to resolve investor-state disputes under the Transatlantic Trade and Investment Partnership. This ,/sites/default/files/content/docs/publications/No-181-Gaffney-FINAL-CHINESE-version.pdf, discusses the lessons that may be taken from the long-established Arab Investment Court in finalizing the design of the proposed Investment Court. ,
No. 180:,An International Investment Court: panacea or purgatory?,No. 180:,/sites/default/files/content/docs/publications/No-180-Sornarajah-FINAL.pdf,",” by M. Sornarajah",
,中文版,"EU officials have proposed the establishment of a permanent court for investment disputes. But there is no guarantee that bias, the reason for the lacking legitimacy of investment arbitration, does not affect judges. This ",/sites/default/files/content/docs/publications/No-180-Sornarajah-FINAL-CHINESE-version.pdf, suggests that it may be preferable for investment disputes to be settled by domestic courts. ,
No. 179:,Chinese FDI in the EU: learning from the renewable energy sector,No. 179:,/sites/default/files/content/docs/publications/No-179-Spigarelli-and-Lv-FINAL.doc.pdf,",” by Francesca Spigarelli and Ping Lv",
,中文版,Chinese foreign direct investments in the EU are helping to integrate the Chinese and EU renewable energy industries. This ,/sites/default/files/content/docs/publications/No-179-Spigarelli-and-Lv-FINAL-CHINESE-version.pdf," discusses recent trends, motivations, and location choice of Chinese investors in the EU, as well as policy implications in light of economic and technological challenges to the sector. ",
No. 178:,The Pacific Rim as a platform for international investment law harmonization,No. 178:,/sites/default/files/content/docs/publications/No-178-Feldman-Vignolo-and-Chiffelle-FINAL.pdf,",” by Mark Feldman, Rodrigo Monardes Vignolo and Cristián Rodríguez Chiffelle",
,中文版,"Over the past decade, active, converging treaty practice in the Pacific Rim region has created substantial momentum for international investment law harmonization. This ",/sites/default/files/content/docs/publications/No-178-Feldman-Vignolo-and-Chiffelle-FINAL-CHINESE-version.pdf, argues that such momentum establishes the Pacific Rim region as an exceptionally well-developed platform for achieving further harmonization of the international investment law regime. ,
No. 177:,Changing geography: prospects for Asian actors as global rule-makers in international investment law,No. 177:,/sites/default/files/content/docs/publications/No-177-Schill-FINAL.pdf,",” by Stephan W. Schill",
,中文版,The past years have witnessed a shift in the geography of international investment law from a transatlantic to a transpacific perspective. Asia has become the focal point in the field. This ,/sites/default/files/content/docs/publications/No-177-Schill-FINAL-CHINESE-version.pdf,considers to which extent Asian actors can translate their new importance into global rule-making clout. ,
No. 176:,Protecting public welfare regulation through joint treaty party control: a ChAFTA innovation,No. 176:,/sites/default/files/content/docs/publications/No-176-Roberts-and-Braddock-FINAL.pdf,",” by Anthea Roberts and Richard Braddock",
,中文版,The recent FTA between China and Australia aims to protect public welfare measures through joint treaty party control. This ,/sites/default/files/content/docs/publications/No-176-Roberts-and-Braddock-FINAL-CHINESE-version.pdf," assesses the FTA’s mechanism in the context of broader efforts to rebalance investor protection and state sovereignty, and to recalibrate interpretive authority between arbitral tribunals and treaty parties. ",
No. 175:,The case for an advisory center on international investment law,No. 175:,/sites/default/files/content/docs/publications/No-175-Alisher-FINAL.pdf,",” by Umirdinov Alisher",
,中文版,"Taking the success story of the Advisory Center on WTO Law in providing subsidized, low-cost legal advice to developing and LDC members of the World Trade Organization, investment law researchers should ask whether we need a similar advisory center in the field of international investment arbitration. ",/sites/default/files/content/docs/publications/No-175-Alisher-FINAL-CHINESE-version.pdf,,
No. 174:,China’s “new normal” in international investment agreements,No. 174:,/sites/default/files/content/docs/publications/No-174-Zhang-FINAL.pdf,",” by Qianwen Zhang",
,中文版,"As it emerges as both a significant inward and a significant outward FDI country, China is adopting new approaches to international investment agreements. This ",/sites/default/files/content/docs/publications/No-174-Zhang-FINAL-CHINESE-version.pdf," discusses China’s “new normal” in international investment agreements, namely that China is adapting to prevailing international investment law standards. ",
No. 173:,Using investor-state dispute settlement to enforce investor obligations,No. 173:,/sites/default/files/content/docs/publications/No-173-Bottini-FINAL.pdf,",” by Gabriel Bottini",
,中文版,"IIAs generally establish obligations for host countries only. Foreign investors may claim for measures taken against a related local company, yet they are not liable for breaches of obligations by this company. This ",/sites/default/files/content/docs/publications/No-173-Bottini-FINAL-CHINESE-version.pdf, suggests that IIAs may be used to enforce obligations binding upon the local investment vehicle. ,
No. 172:,Not all foreign direct investment is foreign: the extent of round-tripping,No. 172:,/sites/default/files/content/docs/publications/No-172-Borga-FINAL.pdf,",” by Maria Borga",
,中文版,"Some foreign investment represents domestic funds that have been sent abroad before returning to the domestic economy, called round-tripping. Traditional FDI statistics do not distinguish round-tripping from genuine foreign investment. This ",/sites/default/files/content/docs/publications/No-172-Borga-FINAL-CHINESE-version.docx.pdf, argues for countries to produce statistics by ultimate investing country to identify the round-tripping in their economies. ,
No. 171:,Untangling the effects of “special purpose entities” on global FDI ,No. 171:,http://ccsi.columbia.edu/files/2013/10/No-171-Nougayr%C3%A8de-FINAL.pdf,",” by Delphine Nougayrède",
,中文版,Investments made through foreign special purpose entities (SPEs) are often measured in the same category as foreign direct investment – yet the beneficial owners of such entities are often unknown. This ,http://ccsi.columbia.edu/files/2013/10/No-171-Nougayr%C3%A8de-FINAL-CHINESE-version.docx.pdf, presents a Russian example of the distortion in national FDI statistics arising from one SPE. ,
No. 170:,An outline for systematic reform of the investment law regime,No. 170:,/sites/default/files/content/docs/publications/No-170-Shan-FINAL.pdf,",” by Wenhua Shan",
,中文版,A multilateral framework on investment could provide an opportunity for a systematic review and reform of the international investment regime. This ,/sites/default/files/content/docs/publications/No-170-Shan-FINAL-CHINESE-version.pdf, considers what features a new regime should incorporate to ensure it is a self-balanced system that evenly serves the interests of host countries and foreign investors. ,
No. 169:,Land investments and human rights: how home countries can do more,No. 169:,/sites/default/files/content/docs/publications/No-169-Cordes-and-Bulman-FINAL_0.pdf,",” by Kaitlin Y. Cordes and Anna Bulman",
,中文版,The current failure of host governments and international law to protect human rights in the context of land-based investments highlights the need to employ other mechanisms. This ,/sites/default/files/content/docs/publications/No-169-Cordes-and-Bulman-FINAL-CHINESE-version.pdf, discusses home country measures as one strategy for encouraging more rights-supportive outward investment in agricultural and forestry projects. ,
No. 168:,Can India emulate China in attracting and benefitting from FDI?,No. 168:,/sites/default/files/content/docs/publications/No-168-Sauvant-and-Allman-FINAL.pdf,",” by Karl P. Sauvant and Daniel Allman",
,中文版,"Over the last forty years, China’s economic growth and rates of FDI have vastly outstripped India’s. As India seeks to boost foreign investment with its “Make in India” campaign, this ",/sites/default/files/content/docs/publications/No-168-Sauvant-and-Allman-FINAL-CHINESE-version.pdf, considers the possible lessons from China’s experience and recommends matching regulatory reform with coordinated investment promotion. ,
No. 167:,Mining automation: threat or opportunity for FDI technology spillovers?,No. 167:,/sites/default/files/content/docs/publications/No-167-Ghebrihiwet-FINAL.pdf,",” by Nahom Ghebrihiwet",
,中文版,"The process of mining automation has accelerated in recent years. As a result, fewer workers are needed at mine-sites, and mining companies need high-technology equipment. This ",/sites/default/files/content/docs/publications/No-167-Ghebrihiwet-FINAL-CHINESE-version.pdf, addresses how resource-rich countries need to adjust traditional local content regulation in order to foster FDI technology spillovers in the future. ,
No. 166:,Democracies conclude more and stricter international investment agreements – but why?,No. 166:,/sites/default/files/content/docs/publications/No-166-Neumayer-and-Nunnenkamp-FINAL.pdf,",” by Eric Neumayer and Peter Nunnenkamp",
,中文版,"Democratic governments tie their hands particularly tightly by concluding more and stricter international investment agreements than autocratic governments, even though the domestic institutional framework in democracies alone offers protection for foreign investors. This ",/sites/default/files/content/docs/publications/No-166-Neumayer-and-Nunnenkamp-FINAL-CHINESE-version.pdf,argues that political scientists and economists are currently not able to explain this puzzle convincingly. ,
No. 165:,A new foreign direct investment accounting methodology for economic development organizations,No. 165:,/sites/default/files/content/docs/publications/No-165-Loewendahl-FINAL.pdf,",” by Henry Loewendahl",
,中文版,Official FDI statistics are based on balance of payments data and the equity share of the foreign entity. This ,/sites/default/files/content/docs/publications/No-165-Loewendahl-FINAL-CHINESE-version.pdf," argues that the official method of measuring FDI is not suitable for economic development organizations, and outlines eight key components of a new methodology to measure FDI for economic development. ",
No. 164:,International investment law and decentralized targeted sanctions: an uneasy relationship,No. 164:,/sites/default/files/content/docs/publications/No-164-van-Aaken-FINAL.pdf,",” by Anne van Aaken",
,中文版,"Decentralized smart sanctions are ever more used, e.g. against Russia. This enforcement system in international law may come into conflict with investment protection law (in contrast to UN sanctions). This ",/sites/default/files/content/docs/publications/No-164-van-Aaken-FINAL-CHINESE-version.docx.pdf, explores under what factual circumstances and legal assumptions this may be the case. ,
No. 163:,Toward balanced Arab regional investment regulations,No. 163:,/sites/default/files/content/docs/publications/No-163-Hussein-FINAL.pdf,",” by Moataz Hussein",
,中文版,"The post-Arab Spring challenges that affected business climate in the Arab region have prompted many countries to revise their investment policies to balance investors’ and states’ rights and obligations. Although there has been some success regarding national legal frameworks for FDI, efforts within regional frameworks have not been so effective. ",/sites/default/files/content/docs/publications/No-163-Hussein-FINAL-CHINESE-version.pdf,,
No. 162:,Preferential investment liberalization under bilateral investment treaties: How to ensure compliance with WTO law?,No. 162:,/sites/default/files/content/docs/publications/No-162-Basedow-FINAL.pdf,",” by Robert Basedow",
,中文版,Numerous modern bilateral investment treaties seek to liberalize bilateral investment flows on a preferential basis. This ,/sites/default/files/content/docs/publications/No-162-Basedow-FINAL-CHINESE-version.pdf,argues that such liberalization commitments are likely to be multilateralized under the General Agreement on Trade in Services. It discusses how policy-makers may avoid the multilateralization of such bilateral liberalization commitments. ,
No. 161:,The case for a multilateral or plurilateral framework on investment,No. 161:,/sites/default/files/content/docs/publications/No-161-Shan-FINAL.pdf,",” by Wenhua Shan",
,中文版,"With converging investment agreement practice and increased participation of developing countries in the investment regime, the time is right to reconsider a multilateral or plurilateral framework on investment. This ",/sites/default/files/content/docs/publications/No-161-Shan-FINAL-CHINESE-version.pdf," discusses how existing institutions could contribute to its focus, establishment, and governance. ",
No. 160:,The Trans-Pacific Partnership investment chapter sets a new worldwide standard,No. 160:,/sites/default/files/content/docs/publications/No-160-Hodgson-FINAL.pdf,",” by Mélida Hodgson",
,中文版,"Seen in the context of the United States’ international investment agreement practice, the Trans-Pacific Partnership includes several new features – expanding regulatory space for states on environment, health and finance but also backtracking on an appellate mechanism. The author highlights developments that could have systemic impacts on investment agreements worldwide. ",/sites/default/files/content/docs/publications/No-160-Hodgson-FINAL-CHINESE-version.pdf,,
No. 159:,Brazil’s bilateral investment treaties: More than a new investment treaty model?,No. 159:,/sites/default/files/content/docs/publications/No-159-Perrone-and-César-FINAL.pdf,",” by Nicolás M. Perrone and Gustavo Rojas de Cerqueira César",
,中文版,"After resisting ratifying investment treaties in the 1990s, Brazil has now become a player in the international investment regime. This ",/sites/default/files/content/docs/publications/No-159-Perrone-and-César-FINAL-CHINESE-version.pdf," argues that the new Brazilian investment treaties are part of an alternative investment policy, and that policy’s future depends on its success and ability to influence other international negotiations. ",
No. 158:,A reading of intra-EU BITs in light of recent developments of EU law,No. 158:,/sites/default/files/content/docs/publications/No-158-Xheraj-FINAL.pdf,",” by Blerina Xheraj",
,中文版,This ,http://ccsi.columbia.edu/files/2013/10/No-158-Xheraj-FINAL-CHINESE-version.pdf, suggests that intra-EU BITs do not violate the principle of autonomy of the EU legal order but instead represent acceptable asymmetric economic relations among member countries. The author argues by analogy to developments on the Agreement on a Unified Patent Court and the EU mechanism of enhanced cooperation. ,
No. 157:,"Investment treaty law, sustainable development and responsible business conduct: A fact-finding survey",No. 157:,/sites/default/files/content/docs/publications/No-157-Gordon-Pohl-and-Bouchard-FINAL.pdf,",” by Kathryn Gordon, Joachim Pohl and Marie Bouchard",
,中文版,"How do sustainable development and responsible business conduct interact within international investment law? An analysis of over 2,100 IIAs and 1,100 treaty-based arbitration documents shows which IIAs refer to these concepts, how they relate to other IIA provisions and to what extent arbitrators refer to these issues in their decisions. ",/sites/default/files/content/docs/publications/No-157-Gordon-Pohl-and-Bouchard-FINAL-CHINESE-version.pdf,,
No. 156:,The case for harmonizing the international regulation of mining,No. 156:,/sites/default/files/content/docs/publications/No-156-Milbourne-FINAL.pdf,",” by Robert Milbourne",
,中文版,There is a clear need for international coordination of standards and policies in the mining sector. This ,/sites/default/files/content/docs/publications/No-156-Milbourne-FINAL-CHINESE-version.docx.pdf,addresses how harmonization may help to reduce arbitrage and promote natural resource investment in a way that minimizes negative impacts on communities and maximizes development gains. ,
No. 155:,Foreign divestment: What stays when multinationals leave?,No. 155:,/sites/default/files/content/docs/publications/Perspective-Sofka-et.-al.-Final-for-Publication.pdf,",” by Wolfgang Sofka, Miguel Torres Preto and Pedro de Faria",
,中文版,"When an MNE closes its doors, workers may find themselves in demand or struggling, depending on the nature of their employment and the characteristics of the foreign affiliate itself. The authors recommend a targeted policy approach that focuses on transition assistance for the most vulnerable employees. ",/sites/default/files/content/docs/publications/No-155-Sofka-Preto-and-de-Faria-FINAL-CHINESE-version.pdf,,
No. 154:,Bringing the state back in: India’s 2015 model BIT,No. 154:,/sites/default/files/content/docs/publications/No-154-Jandhyala-FINAL.pdf,",” by Srividya Jandhyala",
,中文版,"India’s new model BIT reflects a shift toward governing the conduct of foreign investors, and away from mere protection. The author considers how changes in the 2015 Model serve to reinforce the role of the state, and notes key challenges that may arise in practice. ",/sites/default/files/content/docs/publications/No-154-Jandhyala-FINAL-CHINESE-version.pdf,,
No. 153:,Legitimizing expectations in arbitration through political risk analysis ,No. 153:,/sites/default/files/content/docs/publications/No-153-Ginsburg-FINAL.pdf,",” by Robert Ginsburg",
,中文版,"The author argues that the reasonableness of investors’ expectations should be based in part on socio-economic conditions in the host country at the time of the investment. While political risk analysis cannot guarantee specific outcomes, it can provide investors and tribunals with an analytical framework to establish the expectations of a reasonable investor. ",/sites/default/files/content/docs/publications/No-153-Ginsburg-FINAL-CHINESE-version.pdf,,
No. 152:,Cost allocation in ICSID arbitration: theory and (mis)application,No. 152:,/sites/default/files/content/docs/publications/No-152-Hodgson-FINAL.pdf,",” by Matthew Hodgson",
,中文版,This ,/sites/default/files/content/docs/publications/No-152-Hodgson-FINAL-CHINESE-version.pdf," on cost-allocation in investment arbitration argues that the “relative success” approach to cost allocation is dominant but is frequently misapplied in practice, and that there is a need for guidance on costs in the ICSID arbitration rules. ",
No. 151:,We need an international support programme for sustainable investment facilitation,No. 151:,/sites/default/files/content/docs/publications/No-151-Sauvant-FINAL.pdf,",” by Karl P. Sauvant",
,中文版,The WTO’s Trade Facilitation Agreement needs to be complemented by an international support program for sustainable investment facilitation. Key elements are outlined and approaches suggested. ,/sites/default/files/content/docs/publications/No-151-Sauvant-FINAL-CHINESE-version.pdf,,
No. 150:,FDI in Russia in difficult times,No. 150:,/sites/default/files/content/docs/publications/No-150-Jost-FINAL.pdf,",” by Thomas Jost",
,中文版,The ongoing political crisis between Russia and the West jeopardize the achievements in economic relations that have been made over the past two decades. Foreign direct investments in Russia which are essential to modernize its economy may be lost if the Russian government does not send clear signals to restoreconfidence of Western investors. ,/sites/default/files/content/docs/publications/No-150-Jost-FINAL-CHINESE-version.pdf,,
No. 149:,When is investor-state dispute settlement appropriate to resolve investment disputes? An idea for a rule-of-law ratings mechanism,No. 149:,/sites/default/files/content/docs/publications/No-149-Gaffney-FINAL.pdf,",” by John P. Gaffney",
,中文版,This ,/sites/default/files/content/docs/publications/No-149-Gaffney-FINAL-CHINESE-version.pdf," considers the idea of a rule-of-law ratings mechanism by a designated agency, rating the degree of respect for the rule of law by domestic courts in a given country or region, in order to determine whether investor-state disputes should be resolved by national courts or investor-state dispute settlement. ",
No. 148:,Outward FDI does not necessarily cost domestic employment of MNEs at home: Evidence from Japanese MNEs,No. 148:,/sites/default/files/content/docs/publications/No-148-Lee-Makino-and-Hong-FINAL.pdf,",” by In Hyeock Lee, Shige Makino and Eunsuk Hong",
,中文版,"Outward FDI does not necessarily reduce domestic employment — it often boosts it. Evidence from Japanese MNEs show that they increase domestic employment in Japan when they conduct market-seeking, strategic asset-seeking, or efficiency-seeking FDI to expand domestic operations into foreign countries, and hence enhance their competitive advantages. ",/sites/default/files/content/docs/publications/No-148-Lee-Makino-and-Hong-FINAL-CHINESE-version.pdf,,
No. 147:,An appellate body for international investment disputes: How appealing is it? ,No. 147:,/sites/default/files/content/docs/publications/No-147-Karl-FINAL.pdf,",” by Joachim Karl",
,中文版,One suggestion in the ISDS reform debate relates to the establishment of an appellate body. This ,/sites/default/files/content/docs/publications/No-147-Karl-FINAL-CHINESE-version.docx.pdf," considers that an ad-hoc appellate body agreed upon in new investment treaties would be the most promising alternative. However, only a permanent appellate body could ensure coherence and predictability in global arbitration practice. ",
No. 146:,Why we,No. 146:,http://ccsi.columbia.edu/files/2013/10/No-146-Joubin-Bret-FINAL.pdf,",” by Anna Joubin-Bret",
,中文版,Establishing an appellate system for investment arbitration for the EU is a main area for the improvement of investor-state dispute settlement. This,/sites/default/files/content/docs/publications/No-146-Joubin-Bret-FINAL-CHINESE-version.pdf," suggests that discussions about the desirability and feasibility of an appellate mechanism must be held in a multilateral context and apply to all treaties, not only selected few. ",
No. 145:,Toward arbitration between subnational units and foreign investors?,No. 145:,/sites/default/files/content/docs/publications/No-145-Côté-FINAL.pdf,",” by Charles-Emmanuel Côté",
,中文版,"The ICSID Convention has envisaged arbitration between subnational units and foreign investors since its inception in 1966, but no such unit has ever been party to ICSID arbitration. The recent ratification of the Convention by Canada could trigger the emergence of this new sort of arbitration, bringing international investment law into unchartered territory. ",/sites/default/files/content/docs/publications/No-145-Côté-FINAL-CHINESE-version.pdf,,
No. 144: “,Legitimacy in WTO law and investment arbitration: the role of the contracting parties,No. 144: “,/sites/default/files/content/docs/publications/No-144-Woss-FINAL.pdf,,
,中文版,"International investment protection standards are the result of a “dilatory formula compromise,” i.e. a formal compromise without agreement on its precise content, due to historical reasons. Their development is mainly through arbitral awards and scholarly writings in the absence of the further involvement of the contracting parties, which raises legitimacy issues. ",/sites/default/files/content/docs/publications/No-144-Woss-FINAL-CHINESE-version.pdf,,
No. 143:,The escape motivation of emerging market multinational enterprises,No. 143:,/sites/default/files/content/docs/publications/No-143-Cuervo-Cazurra-and-Ramamurti-FINAL.pdf,",” by Alvaro Cuervo-Cazurra and Ravi Ramamurti",
,中文版,"The authors argue that FDI by emerging-market firms in advanced economies is motivated not just by “pull” factors, such as the host country’s large market or technical talent, but also by “push” factors, such as the home country’s weak institutions and reputation. We explain the latter, which we call “escape FDI.” ",/sites/default/files/content/docs/publications/No-143-Cuervo-Cazurra-and-Ramamurti-FINAL-CHINESE-version.pdf,,
No. 142:,The challenges for Chinese FDI in Europe,No. 142:,/sites/default/files/content/docs/publications/No-142-Brennan-FINAL.pdf,",” by Louis Brennan",
,中文版,This ,/sites/default/files/content/docs/publications/No-142-Brennan-FINAL-CHINESE-version.pdf," addresses Chinese foreign direct investment in Europe. It focuses on the major challenges that Chinese investors have faced in that host environment. These relate to the host region’s divergent characteristics, home country liability of origin, China’s OFDI regulation and the capabilities of the investing enterprises. ",
No. 141:,The other side of transparency,No. 141:,/sites/default/files/content/docs/publications/No-141-Nappert-FINAL.pdf,",” by Sophie Nappert",
,中文版,"Following up on the adoption of the UNCITRAL Rules on Transparency in Treaty-based Investor-State Arbitration, and on the eve of the Mauritius Convention on Transparency opening for signature, this ",/sites/default/files/content/docs/publications/No-141-Nappert-FINAL_0.pdf,"queries whether states are adequately informed of, and prepared for, the practical aspects of increased transparency in investor-state arbitration proceedings. ",
No. 140:,"The Transatlantic Trade and Investment Partnership, investor-state dispute settlement and China",No. 140:,/sites/default/files/content/docs/publications/No-140-Berger-and-Skovgaard-Poulsen-FINAL.pdf,",” by Axel Berger and Lauge N. Skovgaard Poulsen",
,中文版,This ,/sites/default/files/content/docs/publications/No-140-Berger-and-Skovgaard-Poulsen-FINAL-CHINESE-version.pdf," argues that since China has been a strong proponent of investment arbitration for more than a decade, Beijing is likely to favor the mechanism in a future EU-China deal – irrespective of whether it is included in the Transatlantic Trade and Investment Partnership agreement. ",
No. 139: “,Africa rising out of itself: The growth of intra-African FDI,No. 139: “,/sites/default/files/content/docs/publications/No-139-Krüger-and-Strauss-FINAL.pdf,,
,中文版,"Detailing the rise of intra-African FDI, the authors suggest that this has the ability to improve Africa’s competitiveness, but requires a combination of improved market access and industrial policies (related to cluster and infrastructure development and the use of local inputs) to ensure that host country domestic suppliers benefit. ",/sites/default/files/content/docs/publications/No-139-Krüger-and-Strauss-FINAL-CHINESE-version.pdf,,
No. 138: “,Host governments should not treat state-owned enterprises differently than other foreign investors,No. 138: “,/sites/default/files/content/docs/publications/No-138-Globerman-FINAL1.pdf,,
,中文版,"Widespread skepticism from host country governments rests on the presumption that SOEs are motivated by non-commercial objectives. Even if true, the discipline of competitive pressures in the marketplace, along with existing regulations, ensures that the costs of inefficient behavior will be borne primarily by the SOE’s owners. ",/sites/default/files/content/docs/publications/No-138-Globerman-FINAL-CHINESE-version.pdf,,
No. 137:,Locating production and income within MNEs: An alternative approach based on formulary apportionment,No. 137:,/sites/default/files/content/docs/publications/No-137-Rassier-FINAL.pdf,",” by Dylan G. Rassier",
,中文版,"Given the unique products and the complex global structure of some MNEs, the economic substance of transactions within MNEs is often subject to question under separate accounting. For statistical purposes, formulary apportionment is a viable alternative to separate accounting as a method for locating production and income within MNEs. ",/sites/default/files/content/docs/publications/No-137-Rassier-FINAL-CHINESE-version.pdf,,
No. 136:,Canada’s non-reciprocal BIT with China: Would the US or Europe do the same?,No. 136:,/sites/default/files/content/docs/publications/No-136-Van-Harten-FINAL.pdf,",” by Gus Van Harten",
,中文版,"The Canada-China BIT requires Canada to open its economy to Chinese investors, while allowing China to retain a closed economy and to keep discriminating against Canadian investors. The treaty also facilitates confidential settlements and sacrifices a longstanding safeguard for Canada’s aboriginal peoples. ",/sites/default/files/content/docs/publications/No-136-Van-Harten-FINAL-CHINESE-version.pdf,,
No. 135:,In defense of bilateral investment treaties,No. 135:,/sites/default/files/content/docs/publications/No-135-Schwebel-FINAL.pdf,",” by Stephen M. Schwebel",
,中文版,"The exclusion of investor-state arbitration from the TTIP agreement would represent a regressive development in international investment law that is to be resisted rather than furthered. The key contentions advanced by critics of investor-state arbitration are exaggerated, and reform efforts should instead focus on its shortcomings. ",/sites/default/files/content/docs/publications/No-135-Schwebel-FINAL-CHINESE-version.pdf,,
No. 134:,The road to responsible investment treaties,No. 134:,/sites/default/files/content/docs/publications/No-134-Nieuwenkamp-and-Sinivuori-FINAL.pdf,",” by Roel Nieuwenkamp and Kimmo Sinivuori",
,中文版,This ,/sites/default/files/content/docs/publications/No-134-Nieuwenkamp-and-Sinivuori-FINAL-Chinese-version.pdf, proposes the integration of responsible business conduct through international investment agreements while protecting the interests of investors against maltreatment. Investment treaties can promote the OECD Guidelines for Multinational Enterprises and the United Nations Guiding Principles on Business and Human Rights by introducing carefully drafted clauses in new treaties. ,
No 133:,The crucial role of infrastructure in attracting FDI,No 133:,/sites/default/files/content/docs/publications/No-133-Donaubauer-Meyer-and-Nunnenkamp-FINAL-with-graphs-for-website.pdf,",” by Julian Donaubauer, Birgit Meyer and Peter Nunnenkamp",
,中文版,"Based on a new global index on infrastructure, this ",/sites/default/files/content/docs/publications/No-133-Donaubauer-Meyer-and-Nunnenkamp-FINAL-CHINESE-version.docx.pdf,shows that infrastructure is crucially important for developing countries’ attractiveness to FDI inflows. The identification of critical gaps in infrastructure strengthens the bargaining position of policymakers in these countries vis-à-vis foreign donors and multinational enterprises. ,
No 132: “,"Germany, the Transatlantic Trade and Investment Partnership and investment-dispute settlement: Observations on a paradox",No 132: “,/sites/default/files/content/docs/publications/No-132-Lorz-FINAL.pdf,,
,中文版,"The TTIP and its ISDS provisions have come under pressure from countries that have embraced free trade agreements and investment protection, most notably Germany. The new political environment in Germany entails a major hazard for the agreement and will likely compel the sacrifice of ISDS to save its substance. ",/sites/default/files/content/docs/publications/No-132-Lorz-FINAL-CHINESE-version.docx.pdf,,
No 131: “,How to deal with the growing incentives competition,No 131: “,/sites/default/files/content/docs/publications/No-131-Thomas-FINAL.pdf,,
,中文版,"The use of subsidies to attract investment costs government billions of dollars annually, making regulation urgent. While comprehensive limitations such as the EU’s are not likely soon, we should improve transparency, have major stakeholders promote incentive rules within preferential trade areas, strengthen WTO notifications, and ban relocation subsidies where possible. ",/sites/default/files/content/docs/publications/No-131-Thomas-FINAL-CHINESE-version.docx.pdf,,
No 130:,Good governance of third party funding,No 130:,/sites/default/files/content/docs/publications/No-130-Kessedjian-FINAL.pdf,",” by Catherine Kessedjian",
,中文版,"Third party funding of international litigation and arbitration is controversial. As a phenomenon that presents issues distinct from other forms of litigation funding, some principles for good governance need to be developed. ",/sites/default/files/content/docs/publications/No-130-Kessedjian-FINAL-CHINESE-version.docx.pdf,,
No 129:,The Canada-China BIT 2012: Perspectives and Implications,No 129:,/sites/default/files/content/docs/publications/Perspective-de-Mestral-Sep-2-2014-Publication-.pdf,",” by Armand de Mestral",
,中文版,"The Canada-China BIT could provide insight on the key issues to be discussed in a possible US-China BIT. A particularly controversial issue will be the terms of investor-state arbitration (ISA). But as ISA becomes increasingly controversial between developed democratic states, it may become harder to negotiate ISA with China. ",/sites/default/files/content/docs/publications/No-129-de-Mestral-FINAL-CHINESE-version.docx.pdf,,
No 128:,The China-EU BIT: The emerging ‘Global BIT 2.0’?,No 128:,/sites/default/files/content/docs/publications/No-128-Shan-and-Wang-FINAL.pdf,",” by Wenhua Shan and Lu Wang",
,中文版,"The China-EU BIT currently being negotiated may be the “Global BIT 2.0,” given that it will be the first new generation BIT that the EU and China conclude on their own initiative and is likely to significantly impact BIT practice worldwide. ",/sites/default/files/content/docs/publications/Perspective-Shan-and-Wang-19-Aug-2014-Chinese-V2-Clean.pdf,,
No 127:,"ICSID, public opinion and the effect of (hypothetical) elite messaging",No 127:,/sites/default/files/content/docs/publications/No-127-Guisinger-and-Alisha-Anderson-FINAL-WEBSITE-version.pdf,",” by Alexandra Guisinger and Alisha Anderson",
,中文版,This ,/sites/default/files/content/docs/publications/No-127-Guisinger-and-Alisha-Anderson-FINAL-CHINESE-version.pdf," presents a unique survey of American public opinion on ICSID, and via a survey experiment demonstrates that attempts to increase public support by Republicans or Democrats would likely backfire. Only bi-partisan framing of ICSID can positively move public opinion. ",
No 126,The Transparency Rules and Transparency Convention: A good start and model for broader reform in investor-state arbitration,No 126,/sites/default/files/content/docs/publications/No-126-Johnson-FINAL1.pdf,",” by Lise Johnson",
,中文版,The 2014 UNCITRAL Transparency Rules and Transparency Convention are a good first step toward greater transparency in investor-state arbitrations. This ,/sites/default/files/content/docs/publications/No-126-Johnson-FINAL-CHINESE-version.pdf, encourages other institutions to follow suit and discusses how the Rules and Convention can be a model for broader reforms of the investment regime. ,
No 125:,Withdrawing incentives to attract FDI: Can host countries put the genie back in the bottle?,No 125:,/sites/default/files/content/docs/publications/No-125-De-Luca-FINAL.pdf,",” by Anna De Luca",
,中文版,"While generous national incentive schemes may help attract FDI, the withdrawal of incentive schemes or subsequent changes thereto affecting foreign investors might be challenged under IIAs, with host countries facing the risk of being overwhelmed with investment arbitration claims. ",/sites/default/files/content/docs/publications/No-125-De-Luca-FINAL-CHINESE-version.docx.pdf,,
No 124:,How to enhance labor provisions in IIAs,No 124:,/sites/default/files/content/docs/publications/No-124-Tamayo-Álvarez-Gonzalez-Perez-and-Rodriguez-Rios-FINAL.pdf,",” by Rafael Tamayo-Álvarez, Maria Alejandra Gonzalez-Perez and Juan David Rodriguez-Rios",
